"ref_area.label","source.label","indicator.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2021",6.399,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2020",8.228,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2017",7.674,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2014",7.336,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2022",2.468,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2021",2.067,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2019",2.545,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2014",1.252,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2023",11.227,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2022",11.502,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2021",11.216,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2020",11.163,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2019",10.95,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2018",10.588,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2017",10.142,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%)","2016",10.191,,,"Repository: ILO-STATISTICS - Micro data processing"
