"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Total","2023",3.26,,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Migrants","2023",2.67,,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Non migrants","2023",3.12,,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers","Sex: Male","Migrant status: Total","2023",5.25,,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers","Sex: Male","Migrant status: Migrants","2023",5.23,,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers","Sex: Male","Migrant status: Non migrants","2023",5.25,,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers","Sex: Female","Migrant status: Total","2023",0.23,,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers","Sex: Female","Migrant status: Migrants","2023",0,,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers","Sex: Female","Migrant status: Non migrants","2023",0.24,,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Total","2022",3.331,,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
