"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Total","2023",3608.708,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Migrants","2023",3450.859,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Non migrants","2023",3524.002,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Male","Migrant status: Total","2023",4695.171,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Male","Migrant status: Migrants","2023",5031.262,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Male","Migrant status: Non migrants","2023",4682.566,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Female","Migrant status: Total","2023",1958.468,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Female","Migrant status: Migrants","2023",1806.828,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Female","Migrant status: Non migrants","2023",1965.88,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Total","2022",3586.893,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Migrants","2022",3420.376,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Non migrants","2022",3506.946,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Male","Migrant status: Total","2022",4694.804,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Male","Migrant status: Migrants","2022",5033.496,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Male","Migrant status: Non migrants","2022",4681.183,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Female","Migrant status: Total","2022",1894.156,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Female","Migrant status: Migrants","2022",1763.292,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Female","Migrant status: Non migrants","2022",1901.219,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Total","2021",3310.227,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Migrants","2021",2414.421,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Total","Migrant status: Non migrants","2021",3236.33,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Male","Migrant status: Total","2021",4506.224,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Male","Migrant status: Migrants","2021",5110.743,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Male","Migrant status: Non migrants","2021",4480.655,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Female","Migrant status: Total","2021",1465.992,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Female","Migrant status: Migrants","2021",912.212,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
"Argentina","ADM - Register of Work Accidents and Occupational Injuries","SDG indicator 8.8.1 - Non-fatal occupational injuries per 100'000 workers","Sex: Female","Migrant status: Non migrants","2021",1523.597,"Coverage of occupational injuries: Reported injuries | Type of cases of occupational injuries: Including cases of occupational disease","Reference group coverage: Insured persons"
