"ref_area.label","source.label","indicator.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Aruba","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2011",42.751,,,,
"Aruba","PC - Population and Housing Census","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2010",40.961,,,,"Data reference period: September | Age coverage - minimum age: 14 years old"
"Aruba","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2007",40.25,,,,"Data reference period: October"
"Aruba","PC - Population and Housing Census","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2000",35.867,,,,"Data reference period: October"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2021",,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2020",4.891,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2017",4.055,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2014",6.369,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2022",16.653,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2021",15.358,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2019",13.308,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2014",19.726,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2011",31.893,,,,
"Angola","LFS - Employment Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2010",29.764,,,,
"Angola","HIES - Core Welfare Indicators Questionnaire","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2009",14.777,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HIES - Core Welfare Indicators Questionnaire","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2004",29.523,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Anguilla","PC - Population Census","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2001",52.032,,,,"Data reference period: May | Population coverage: Excluding armed forces and/or conscripts"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2023",23.497,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2022",26.175,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2021",27.361,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2020",34.849,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2019",34.115,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2018",29.251,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2017",22.646,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2016",24.143,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2015",19.762,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2014",18.679,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2013",31.926,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2012",16.07,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2010",19.1,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2009",22.466,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2008",23.744,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2007",20.47,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2002",13.056,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2007",34.231,,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2006",33.419,,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2005",32.959,,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2004",32.164,,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2003",32.94,,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
"Netherlands Antilles","LFS - Labour Force Survey","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","2002",31.337,,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area"
